plant,molecules
Solanum virginianum,Apigenin
Solanum virginianum,beta-Sitosterol
Solanum virginianum,Solasonine
Solanum virginianum,Solasodine
Solanum virginianum,Solamargine
Solanum virginianum,Scopolin
Solanum virginianum,Soladulcamaridine
Solanum virginianum,Cycloartanol
Solanum virginianum,Carpesterol
Solanum virginianum,Esculin
Solanum virginianum,Cholesterol
Solanum virginianum,Solasurine
Solanum virginianum,Esculetin
Solanum virginianum,Scopoletin
Solanum virginianum,Cycloartenol
Solanum virginianum,Chlorogenic acid
Solanum virginianum,Neochlorogenic acid
Solanum virginianum,Caffeic acid
Solanum virginianum,"Cyclohexanecarboxylic acid, 3-[[3-(3,4-dihydroxyphenyl)-1-oxo-2-propenyl]oxy]-1,4,5-trihydroxy-, (1S,3R,4S,5R)-"
Solanum virginianum,Campesterol
Solanum virginianum,Stigmasterol
Solanum virginianum,stigmast-5-en-3beta-yl beta-D-glucopyranoside
Solanum virginianum,Stigmasteryl glucoside
Solanum virginianum,Diosgenin
Solanum virginianum,Histamine
