plant,diseases
Oroxylum indicum,Abdominal pain
Oroxylum indicum,Abortifacient agents
Oroxylum indicum,Analgesics
Oroxylum indicum,Anemia
Oroxylum indicum,Anthelmintics
Oroxylum indicum,Anti-bacterial agents
Oroxylum indicum,Anticonvulsants
Oroxylum indicum,Antihypertensive agents
Oroxylum indicum,Anti-infective agents
Oroxylum indicum,"Anti-infective agents, local"
Oroxylum indicum,Anti-inflammatory agents
Oroxylum indicum,Antineoplastic agents
Oroxylum indicum,Antioxidants
Oroxylum indicum,Antipyretics
Oroxylum indicum,Antirheumatic agents
Oroxylum indicum,Antitussive agents
Oroxylum indicum,Appetite stimulants
Oroxylum indicum,Arthralgia
Oroxylum indicum,Arthritis
Oroxylum indicum,Asthma
Oroxylum indicum,Bronchitis
Oroxylum indicum,Burns
Oroxylum indicum,Cardiovascular diseases
Oroxylum indicum,Chickenpox
Oroxylum indicum,Demulcents
Oroxylum indicum,Diabetes mellitus
Oroxylum indicum,Diarrhea
Oroxylum indicum,Digestive system diseases
Oroxylum indicum,Diuretics
Oroxylum indicum,Dyspepsia
Oroxylum indicum,Foodborne diseases
Oroxylum indicum,"Fractures, bone"
Oroxylum indicum,Furunculosis
Oroxylum indicum,Gastrointestinal diseases
Oroxylum indicum,Hemorrhoids
Oroxylum indicum,Herpes simplex
Oroxylum indicum,Immunomodulation
Oroxylum indicum,Infertility
Oroxylum indicum,Inflammation
Oroxylum indicum,Jaundice
Oroxylum indicum,Leprosy
Oroxylum indicum,Leukorrhea
Oroxylum indicum,Liver diseases
Oroxylum indicum,Malaria
Oroxylum indicum,Measles
Oroxylum indicum,Menorrhagia
Oroxylum indicum,Menstruation disturbances
Oroxylum indicum,Mumps
Oroxylum indicum,Neurotic disorders
Oroxylum indicum,Paralysis
Oroxylum indicum,Parasympatholytics
Oroxylum indicum,Periodontitis
Oroxylum indicum,Pneumonia
Oroxylum indicum,Polyuria
Oroxylum indicum,Postnatal care
Oroxylum indicum,General tonic for rejuvenation
Oroxylum indicum,Skin ulcer
Oroxylum indicum,Smallpox
Oroxylum indicum,Snake bites
Oroxylum indicum,Sprains and strains
Oroxylum indicum,Ulcer
Oroxylum indicum,Urinary tract infections
Oroxylum indicum,Vitiligo
Oroxylum indicum,Wound healing
Oroxylum indicum,Disorder of prostate
Oroxylum indicum,Diaphoretic
Oroxylum indicum,Flatulence
Oroxylum indicum,Rabies
Oroxylum indicum,Astringents
Oroxylum indicum,Cathartics
Oroxylum indicum,Cholera
Oroxylum indicum,Colic
Oroxylum indicum,Cough
Oroxylum indicum,Dental caries
Oroxylum indicum,"Dysentery, amebic"
Oroxylum indicum,Expectorants
Oroxylum indicum,Helminthiasis
Oroxylum indicum,Hemorrhage
Oroxylum indicum,Pain
Oroxylum indicum,Pharyngitis
Oroxylum indicum,Pregnancy complications
Oroxylum indicum,Stomach diseases
Oroxylum indicum,Emollients
Oroxylum indicum,Headache
Oroxylum indicum,Splenomegaly
Oroxylum indicum,Wounds and injuries
Oroxylum indicum,Abdominal neoplasms
Oroxylum indicum,Anorexia
Oroxylum indicum,Antidotes
Oroxylum indicum,Antiemetics
Oroxylum indicum,Antifungal agents
Oroxylum indicum,Antitubercular agents
Oroxylum indicum,Aphrodisiacs
Oroxylum indicum,Biliary tract diseases
Oroxylum indicum,Dysentery
Oroxylum indicum,Ear diseases
Oroxylum indicum,Edema
Oroxylum indicum,Fertility agents
Oroxylum indicum,Fever
Oroxylum indicum,Galactogogues
Oroxylum indicum,Gout
Oroxylum indicum,Hiccup
Oroxylum indicum,Hypohidrosis
Oroxylum indicum,Kidney diseases
Oroxylum indicum,Laxatives
Oroxylum indicum,Lipid peroxidation
Oroxylum indicum,Neuralgia
Oroxylum indicum,Respiratory tract diseases
Oroxylum indicum,Skin diseases
Oroxylum indicum,Thirst
Oroxylum indicum,Urination disorders
Oroxylum indicum,Urologic diseases
Oroxylum indicum,Vomiting
Oroxylum indicum,Otorrhea
Oroxylum indicum,Rheumatoid arthritis
Oroxylum indicum,Dysmenorrhea
Oroxylum indicum,Scorpion stings
Oroxylum indicum,Tonsillitis
Oroxylum indicum,Acne vulgaris
Oroxylum indicum,Anthrax
Oroxylum indicum,Anti-obesity agents
Oroxylum indicum,Hypersensitivity
Oroxylum indicum,Mental disorders
Oroxylum indicum,Splenic diseases
