plant,diseases
Aegle marmelos,Abdominal pain
Aegle marmelos,Anthelmintics
Aegle marmelos,Antipyretics
Aegle marmelos,Depressive disorder
Aegle marmelos,Diarrhea
Aegle marmelos,Dysentery
Aegle marmelos,Fever
Aegle marmelos,Gastrointestinal diseases
Aegle marmelos,Headache
Aegle marmelos,Heart diseases
Aegle marmelos,Hypoglycemic agents
Aegle marmelos,Parasympatholytics
Aegle marmelos,Snake bites
Aegle marmelos,Antiemetics
Aegle marmelos,"Anti-infective agents, local"
Aegle marmelos,Anti-obesity agents
Aegle marmelos,Antirheumatic agents
Aegle marmelos,Antiviral agents
Aegle marmelos,Appetite stimulants
Aegle marmelos,Astringents
Aegle marmelos,Brain diseases
Aegle marmelos,Colic
Aegle marmelos,Constipation
Aegle marmelos,Demulcents
Aegle marmelos,Diabetes mellitus
Aegle marmelos,"Diet, food, and nutrition"
Aegle marmelos,Digestive system diseases
Aegle marmelos,Dyspepsia
Aegle marmelos,Dysuria
Aegle marmelos,Edema
Aegle marmelos,"Genital diseases, female"
Aegle marmelos,Hair diseases
Aegle marmelos,Hemorrhoids
Aegle marmelos,Hyperglycemia
Aegle marmelos,Hysteria
Aegle marmelos,Jaundice
Aegle marmelos,Laxatives
Aegle marmelos,Nervous system diseases
Aegle marmelos,Neurotic disorders
Aegle marmelos,"Increase physical endurance, strength and stamina"
Aegle marmelos,Pneumonia
Aegle marmelos,General tonic for rejuvenation
Aegle marmelos,Sinusitis
Aegle marmelos,Spasm
Aegle marmelos,Toothache
Aegle marmelos,Tuberculosis
Aegle marmelos,Urination disorders
Aegle marmelos,Vomiting
Aegle marmelos,Child health
Aegle marmelos,Malabsorption syndromes
Aegle marmelos,Cooling effect on body
Aegle marmelos,Abscess
Aegle marmelos,Hair loss
Aegle marmelos,Analgesics
Aegle marmelos,Anti-arrhythmia agents
Aegle marmelos,Anti-bacterial agents
Aegle marmelos,Antifungal agents
Aegle marmelos,Anti-inflammatory agents
Aegle marmelos,Antispermatogenic agents
Aegle marmelos,Arthritis
Aegle marmelos,Asthma
Aegle marmelos,Cardiotonic agents
Aegle marmelos,Common cold
Aegle marmelos,Cough
Aegle marmelos,Deafness
Aegle marmelos,Endophthalmitis
Aegle marmelos,Expectorants
Aegle marmelos,Furunculosis
Aegle marmelos,Hypersensitivity
Aegle marmelos,Hypertension
Aegle marmelos,Inflammation
Aegle marmelos,"Influenza, human"
Aegle marmelos,Malaria
Aegle marmelos,Sprains and strains
Aegle marmelos,Stomach diseases
Aegle marmelos,Sunstroke
Aegle marmelos,Wounds and injuries
Aegle marmelos,Carrageenan
Aegle marmelos,Chest pain
Aegle marmelos,Hypochondriasis
Aegle marmelos,Irritable bowel syndrome
Aegle marmelos,Narcotics
Aegle marmelos,Pruritus
Aegle marmelos,Puerperal disorders
Aegle marmelos,Scorpion stings
Aegle marmelos,Wound healing
Aegle marmelos,Antiprotozoal agents
Aegle marmelos,Colitis
Aegle marmelos,Anticonvulsants
Aegle marmelos,Cholera
Aegle marmelos,Flatulence
Aegle marmelos,Hypnotics and sedatives
Aegle marmelos,Mastodynia
Aegle marmelos,Muscle cramp
Aegle marmelos,Nausea
Aegle marmelos,Postnatal care
Aegle marmelos,Scurvy
Aegle marmelos,Sleep initiation and maintenance disorders
Aegle marmelos,Suppuration
Aegle marmelos,Thirst
Aegle marmelos,Ulcer
