plant,diseases
Solanum virginianum,Common cold
Solanum virginianum,Cough
Solanum virginianum,Exanthema
Solanum virginianum,Eye diseases
Solanum virginianum,Flatulence
Solanum virginianum,Pain
Solanum virginianum,Antipyretics
Solanum virginianum,Antirheumatic agents
Solanum virginianum,Asthma
Solanum virginianum,Bronchitis
Solanum virginianum,Diuretics
Solanum virginianum,Expectorants
Solanum virginianum,Fertility agents
Solanum virginianum,Hepatomegaly
Solanum virginianum,Laxatives
Solanum virginianum,Pharyngitis
Solanum virginianum,General tonic for rejuvenation
Solanum virginianum,Respiratory tract infections
Solanum virginianum,Skin diseases
Solanum virginianum,Splenic diseases
Solanum virginianum,Urinary bladder calculi
Solanum virginianum,Urination disorders
Solanum virginianum,Vomiting
Solanum virginianum,Anthelmintics
Solanum virginianum,Aphrodisiacs
Solanum virginianum,Fever
Solanum virginianum,Hemorrhoids
Solanum virginianum,Appetite stimulants
Solanum virginianum,Chest pain
Solanum virginianum,Chickenpox
Solanum virginianum,Heart diseases
Solanum virginianum,Low back pain
Solanum virginianum,Thirst
Solanum virginianum,Urinary tract infections
Solanum virginianum,Amenorrhea
Solanum virginianum,Anorexia
Solanum virginianum,Colic
Solanum virginianum,Constipation
Solanum virginianum,Dengue virus
Solanum virginianum,Dysmenorrhea
Solanum virginianum,Dyspepsia
Solanum virginianum,Edema
Solanum virginianum,Epilepsy
Solanum virginianum,Gonorrhea
Solanum virginianum,Helminthiasis
Solanum virginianum,Leprosy
Solanum virginianum,Splenomegaly
Solanum virginianum,Urologic diseases
Solanum virginianum,Rheumatoid arthritis
