plant,diseases
Pseudarthria viscida,Anthelmintics
Pseudarthria viscida,Antipyretics
Pseudarthria viscida,Antirheumatic agents
Pseudarthria viscida,Asthma
Pseudarthria viscida,Astringents
Pseudarthria viscida,Diarrhea
Pseudarthria viscida,Fever
Pseudarthria viscida,Heart diseases
Pseudarthria viscida,Hemorrhoids
Pseudarthria viscida,Vomiting
Pseudarthria viscida,Anti-inflammatory agents
Pseudarthria viscida,Aphrodisiacs
Pseudarthria viscida,Asthenia
Pseudarthria viscida,Bronchitis
Pseudarthria viscida,Cardiotonic agents
Pseudarthria viscida,Cough
Pseudarthria viscida,Diabetes mellitus
Pseudarthria viscida,Diuretics
Pseudarthria viscida,Dyspepsia
Pseudarthria viscida,Emaciation
Pseudarthria viscida,Emollients
Pseudarthria viscida,Gout
Pseudarthria viscida,Helminthiasis
Pseudarthria viscida,Hemorrhage
Pseudarthria viscida,Inflammation
Pseudarthria viscida,Nervous system diseases
Pseudarthria viscida,Neurasthenia
Pseudarthria viscida,Tuberculosis
Pseudarthria viscida,Urination disorders
