plant,diseases
Desmodium gangeticum,Anti-inflammatory agents
Desmodium gangeticum,Leishmaniasis
Desmodium gangeticum,Malaria
Desmodium gangeticum,Trypanosomiasis
Desmodium gangeticum,Stomach diseases
Desmodium gangeticum,Anthelmintics
Desmodium gangeticum,Aphrodisiacs
Desmodium gangeticum,Asthma
Desmodium gangeticum,Diuretics
Desmodium gangeticum,Dysentery
Desmodium gangeticum,Fever
Desmodium gangeticum,Furunculosis
Desmodium gangeticum,Hemorrhoids
Desmodium gangeticum,Labor pain
Desmodium gangeticum,Low back pain
Desmodium gangeticum,Lung diseases
Desmodium gangeticum,Typhoid fever
Desmodium gangeticum,Wound healing
Desmodium gangeticum,Abdominal pain
Desmodium gangeticum,Anti-bacterial agents
Desmodium gangeticum,Antifungal agents
Desmodium gangeticum,Antipyretics
Desmodium gangeticum,Appetite stimulants
Desmodium gangeticum,Astringents
Desmodium gangeticum,Brain diseases
Desmodium gangeticum,Cardiovascular diseases
Desmodium gangeticum,Chest pain
Desmodium gangeticum,Common cold
Desmodium gangeticum,Contraceptive agents
Desmodium gangeticum,Cough
Desmodium gangeticum,Diabetes mellitus
Desmodium gangeticum,Diarrhea
Desmodium gangeticum,Edema
Desmodium gangeticum,Endophthalmitis
Desmodium gangeticum,Headache
Desmodium gangeticum,Hemorrhage
Desmodium gangeticum,Hypertension
Desmodium gangeticum,Migraine disorders
Desmodium gangeticum,Paralysis
Desmodium gangeticum,Pregnancy complications
Desmodium gangeticum,General tonic for rejuvenation
Desmodium gangeticum,Scorpion stings
Desmodium gangeticum,Snake bites
Desmodium gangeticum,Sprains and strains
Desmodium gangeticum,"Sterilization, reproductive"
Desmodium gangeticum,Tuberculosis
Desmodium gangeticum,Unconsciousness
Desmodium gangeticum,Vomiting
Desmodium gangeticum,Exanthema
Desmodium gangeticum,Hemagglutination
Desmodium gangeticum,Cachexia
Desmodium gangeticum,Digestive system diseases
Desmodium gangeticum,Dysuria
Desmodium gangeticum,"Infertility, male"
Desmodium gangeticum,Inflammation
Desmodium gangeticum,Metabolism
Desmodium gangeticum,Anti-poisoning
Desmodium gangeticum,"Stress, psychological"
Desmodium gangeticum,Ulcer
Desmodium gangeticum,Wounds and injuries
Desmodium gangeticum,Analgesics
Desmodium gangeticum,Anorexia
Desmodium gangeticum,Antioxidants
Desmodium gangeticum,Asthenia
Desmodium gangeticum,Bronchitis
Desmodium gangeticum,Cardiotonic agents
Desmodium gangeticum,Cataract
Desmodium gangeticum,Dyspepsia
Desmodium gangeticum,Expectorants
Desmodium gangeticum,Flatulence
Desmodium gangeticum,Gout
Desmodium gangeticum,Heart diseases
Desmodium gangeticum,Helminthiasis
Desmodium gangeticum,Nervous system diseases
Desmodium gangeticum,Periodontitis
Desmodium gangeticum,Rheumatic diseases
Desmodium gangeticum,Urination disorders
Desmodium gangeticum,Vision disorders
