plant,diseases
Stereospermum chelonoides,Aphrodisiacs
Stereospermum chelonoides,Hiccup
Stereospermum chelonoides,Diuretics
Stereospermum chelonoides,Dyspepsia
Stereospermum chelonoides,Earache
Stereospermum chelonoides,Malaria
Stereospermum chelonoides,General tonic for rejuvenation
Stereospermum chelonoides,Asthma
Stereospermum chelonoides,Cough
Stereospermum chelonoides,Diarrhea
Stereospermum chelonoides,Kidney calculi
Stereospermum chelonoides,Thirst
Stereospermum chelonoides,Urinary bladder calculi
Stereospermum chelonoides,Cooling effect on body
Stereospermum chelonoides,Migraine disorders
