plant,molecules
Premna serratifolia,Aphelandrine
Premna serratifolia,Betulin
Premna serratifolia,Luteolin
Premna serratifolia,beta-Sitosterol
Premna serratifolia,Hexadecane
Premna serratifolia,Carvacrol
Premna serratifolia,4-Oxononanal
Premna serratifolia,3-Octanol
Premna serratifolia,Octadecane
Premna serratifolia,Vanillin
Premna serratifolia,2-Hexanol
Premna serratifolia,Benzyl Alcohol
Premna serratifolia,Methyl salicylate
Premna serratifolia,Octanoic acid
Premna serratifolia,Eugenol
Premna serratifolia,2-Nonenal
Premna serratifolia,Cinnamyl alcohol
Premna serratifolia,1-Octen-3-OL
Premna serratifolia,Acetovanillone
Premna serratifolia,gamma-Himachalene
Premna serratifolia,Phenethyl acetate
Premna serratifolia,4-Methoxybenzyl alcohol
Premna serratifolia,1-Docosene
Premna serratifolia,2-Phenylethanol
Premna serratifolia,beta-Ionone
Premna serratifolia,1-Octadecene
Premna serratifolia,Eicosane
Premna serratifolia,Indole
Premna serratifolia,1-Hexanol
Premna serratifolia,Hexanoic acid
Premna serratifolia,Cadinane
Premna serratifolia,Phenylacetaldehyde
Premna serratifolia,1-Octanol
Premna serratifolia,4-Vinylphenol
Premna serratifolia,Benzyl acetate
Premna serratifolia,Tetracosane
Premna serratifolia,Heptadecane
Premna serratifolia,Nonadecane
Premna serratifolia,Docosane
Premna serratifolia,Heneicosane
Premna serratifolia,Tricosane
Premna serratifolia,beta-Gurjunene
Premna serratifolia,beta-Elemene
Premna serratifolia,Benzyl benzoate
Premna serratifolia,"(2E,6Z)-Nona-2,6-dien-1-ol"
Premna serratifolia,1-Eicosene
Premna serratifolia,"trans-2,cis-6-Nonadienal"
Premna serratifolia,1-Nonadecene
Premna serratifolia,"(S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene"
Premna serratifolia,cis-3-Hexen-1-ol
Premna serratifolia,alpha-Muurolene
Premna serratifolia,Citral
Premna serratifolia,gamma-Muurolene
Premna serratifolia,cis-3-Hexenyl acetate
Premna serratifolia,Linalool
Premna serratifolia,alpha-Pinene
Premna serratifolia,Butyl benzoate
Premna serratifolia,1-Hexadecene
Premna serratifolia,beta-Pinene
Premna serratifolia,alpha-Terpineol
Premna serratifolia,1-Nonen-3-ol
Premna serratifolia,"3-(1,5-Dimethyl-4-hexenyl)-6-methylene-1-cyclohexene"
Premna serratifolia,Phytol
Premna serratifolia,trans-Sesquisabinene hydrate
Premna serratifolia,alpha-Calacorene
Premna serratifolia,delta-Elemene
Premna serratifolia,1-Heneicosene
Premna serratifolia,beta-Selinene
Premna serratifolia,(E)-2-epi-beta-caryophyllene
Premna serratifolia,Caswell No. 264AB
Premna serratifolia,beta-Caryophyllene
Premna serratifolia,Calamenene
Premna serratifolia,"cis-Muurola-4(14),5-diene"
Premna serratifolia,Limonene
Premna serratifolia,alpha-Copaene
Premna serratifolia,trans-alpha-Bergamotene
Premna serratifolia,"3-Methoxy-2,5-dimethylpyrazine"
Premna serratifolia,2'-Methylacetophenone
Premna serratifolia,4-Methoxyphenethyl alcohol
Premna serratifolia,Methyl 9-oxononanoate
Premna serratifolia,Acteoside
Premna serratifolia,Mussaenosidic acid
Premna serratifolia,Premcoryoside
Premna serratifolia,Premnenol
Premna serratifolia,Martynoside
Premna serratifolia,(-)-Olivil
Premna serratifolia,Premnaspirodiene
