plant,molecules
Tribulus terrestris,Diosgenin acetate
Tribulus terrestris,"(1R)-7-methoxy-1-methyl-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indole"
Tribulus terrestris,Tribulusamide B
Tribulus terrestris,Dioscin
Tribulus terrestris,Gracillin
Tribulus terrestris,Diosgenin
Tribulus terrestris,"Diosgenin,dehydro"
Tribulus terrestris,Ruscogenin
Tribulus terrestris,Chlorogenin
Tribulus terrestris,Kaempferol
Tribulus terrestris,Harmaline
Tribulus terrestris,Terrestriamide
Tribulus terrestris,Quercetin
Tribulus terrestris,Harmine
Tribulus terrestris,Saponin G
Tribulus terrestris,Tataramide B
Tribulus terrestris,Saponin C
Tribulus terrestris,Tribulosin
Tribulus terrestris,Gitogenin
Tribulus terrestris,Neogitogenin
Tribulus terrestris,Nicotiflorin
Tribulus terrestris,Hecogenin
Tribulus terrestris,Campesterol
Tribulus terrestris,Astragalin
Tribulus terrestris,beta-Sitosterol
Tribulus terrestris,Stigmasterol
Tribulus terrestris,Rutin
Tribulus terrestris,Disogluside
Tribulus terrestris,"Spirosta-3,5-diene"
Tribulus terrestris,Gitonin
Tribulus terrestris,F-Gitonin
Tribulus terrestris,Degalactotigonin
Tribulus terrestris,Tiliroside
Tribulus terrestris,Moupinamide
Tribulus terrestris,Tigogenin
Tribulus terrestris,Neotigogenin
Tribulus terrestris,Harman
Tribulus terrestris,Prototribestin
Tribulus terrestris,Isoterrestrosin B
Tribulus terrestris,"(1R,2S,4S,5'R,6R,7S,8R,9S,12S,13S,16S,18S)-16-[(2R,3R,4R,5R,6R)-3,4-dihydroxy-5-[(2S,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)oxan-2-yl]oxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-10-one"
Tribulus terrestris,Terrestrosin K
Tribulus terrestris,Terrestrosin F
Tribulus terrestris,Tribulosaponin B
Tribulus terrestris,Harmol
Tribulus terrestris,"(1R,2S,4S,5'R,6R,7S,8R,9S,12S,13S,16S,18S)-16-[(2R,3R,4R,5R,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-10-one"
Tribulus terrestris,Quercetin 3-gentiobioside-7-glucoside
Tribulus terrestris,Isorhamnetin 3-gentiotrioside
Tribulus terrestris,"(2S,3R,4S,5S,6R)-2-[(2S,3R,4S,5S,6R)-2-[(2S,3R,4S,6R)-2-[(2R,3R,4R,5R,6R)-6-[(1R,2S,3S,4R,5'R,6R,7S,8R,9S,12S,13S,15R,16R,18S)-3,15-dihydroxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-16-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-5-hydroxy-6-(hydroxymethyl)-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
Tribulus terrestris,Protodioscin
Tribulus terrestris,Harmalol
Tribulus terrestris,Stearic acid
Tribulus terrestris,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,5S)-3,4,5-trihydroxy-6-[[(2R,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one"
Tribulus terrestris,Ascorbic acid
Tribulus terrestris,Palmitic acid
Tribulus terrestris,Kaempferol 3-gentiobioside
Tribulus terrestris,"9H-Pyrido[3,4-B]indole"
Tribulus terrestris,Oleic acid
Tribulus terrestris,Protogracillin
Tribulus terrestris,Isoquercitrin
Tribulus terrestris,Daucosterol
Tribulus terrestris,D-Glucose
Tribulus terrestris,Hyperoside
Tribulus terrestris,Linoleic acid
Tribulus terrestris,L-Rhamnose
Tribulus terrestris,Kaempferol 3-gentiobioside-7-glucoside
Tribulus terrestris,Isorhamnetin 3-gentiobioside-7-glucoside
Tribulus terrestris,Astragaloside
