plant,molecules
Aegle marmelos,D-Limonene
Aegle marmelos,p-Menth-1-en-3-ol
Aegle marmelos,alpha-Curcumene
Aegle marmelos,Clionasterol
Aegle marmelos,Aristolene
Aegle marmelos,Caryophyllene oxide
Aegle marmelos,Phytol
Aegle marmelos,(Z)-beta-Ocimene
Aegle marmelos,Fenretinide
Aegle marmelos,N-[2-Hydroxy-2-(4-hydroxyphenyl)ethyl]cinnamide
Aegle marmelos,"(1aS,4aS,7R,7aS,7bS)-1,1,7-Trimethyl-4-methylenedecahydro-1H-cyclopropa[e]azulen-7-ol"
Aegle marmelos,beta-Selinene
Aegle marmelos,alpha-Phellandrene
Aegle marmelos,beta-Caryophyllene
Aegle marmelos,Camphene
Aegle marmelos,cis-Sabinene hydrate
Aegle marmelos,Limonene
Aegle marmelos,Nerolidol
Aegle marmelos,Piperitone
Aegle marmelos,Rutin
Aegle marmelos,(+)-cis-Sabinol
Aegle marmelos,beta-Sitosterol-beta-D-glucoside
Aegle marmelos,alpha-Copaene
Aegle marmelos,Isoaromadendrene epoxide
Aegle marmelos,"Longipinocarveol, trans-"
Aegle marmelos,"2-Cyclopenten-1-one, 2-(2-butenyl)-3-methyl-, (Z)-"
Aegle marmelos,(2E)-2-Methyl-2-octenedial
Aegle marmelos,Calcitriol
Aegle marmelos,5-Isopropenyl-2-methyl-2-cyclohexen-1-yl pivalate
Aegle marmelos,4-Allyltoluene
Aegle marmelos,3-Fluorophenyl cyclohexanecarboxylate
Aegle marmelos,"5-Isopropyl-6-methyl-hepta-3,5-dien-2-ol"
Aegle marmelos,"1-Benzoxirene-2,5-dione, 4-(3-oxobutyl)hexahydro-3,3,4-trimethyl"
Aegle marmelos,"2,3-Pinanediol"
Aegle marmelos,"3,9-Epoxy-p-menta-1,8(10)-diene"
Aegle marmelos,Tembamide
Aegle marmelos,Stearic acid
Aegle marmelos,Palmitic acid
Aegle marmelos,Oleic acid
Aegle marmelos,Linolenic acid
Aegle marmelos,D-Galacturonic Acid
Aegle marmelos,L-Arabinose
Aegle marmelos,Linoleic acid
Aegle marmelos,Osthole
Aegle marmelos,Flavylium
Aegle marmelos,3-Octanone
Aegle marmelos,Ascorbic acid
Aegle marmelos,Methyleugenol
Aegle marmelos,alpha-Carotene
Aegle marmelos,beta-Carotene
