plant,molecules
Aegle marmelos,Skimmianine
Aegle marmelos,Haplopine
Aegle marmelos,Kokusagine
Aegle marmelos,Auraptene
Aegle marmelos,Coumarin
Aegle marmelos,Umbelliferone
Aegle marmelos,Marmin
Aegle marmelos,Imperatorin
Aegle marmelos,gamma-Fagarine
Aegle marmelos,Marmesin
Aegle marmelos,Lupeol
Aegle marmelos,Aegelinol
Aegle marmelos,beta-Sitosterol
Aegle marmelos,Methoxsalen
Aegle marmelos,L-(+)-Arabinose
Aegle marmelos,Bergapten
Aegle marmelos,Psoralen
Aegle marmelos,Alloimperatorin
Aegle marmelos,Xanthotoxol
Aegle marmelos,Isopimpinellin
Aegle marmelos,Isoimperatorin
Aegle marmelos,Dictamnine
Aegle marmelos,Skimmin
Aegle marmelos,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methoxy-4-(3-methyl-2-butenyl)-"
Aegle marmelos,Marmeline
Aegle marmelos,"Pyridine, 3-[5-[4-[(3-methyl-2-butenyl)oxy]phenyl]-2-oxazolyl]-"
Aegle marmelos,Scoparone
Aegle marmelos,Scopoletin
Aegle marmelos,Tannic acid
Aegle marmelos,D-Galactose
Aegle marmelos,(+)-alpha-Phellandrene
Aegle marmelos,Daucosterol
Aegle marmelos,D-Glucose
Aegle marmelos,L-Rhamnose
Aegle marmelos,Myrtenol
Aegle marmelos,Carotol
Aegle marmelos,gamma-Terpineol
Aegle marmelos,Aegeline
Aegle marmelos,Pinocarvone
Aegle marmelos,Himachalol
Aegle marmelos,2-(4-Methylphenyl)propan-2-ol
Aegle marmelos,Myrcene
Aegle marmelos,2-Methoxy-4-vinylphenol
Aegle marmelos,Eugenol
Aegle marmelos,4-Isopropylbenzaldehyde
Aegle marmelos,Eudesm-7(11)-en-4-ol
Aegle marmelos,Bicyclogermacrene
Aegle marmelos,"trans-1(7),8-p-Menthadien-2-ol"
Aegle marmelos,(Z)-alpha-Bisabolene
Aegle marmelos,Cubebol
Aegle marmelos,(+)-gamma-Gurjunene
Aegle marmelos,(-)-beta-Bourbonene
Aegle marmelos,gamma-Terpinene
Aegle marmelos,"Cyclohexene, 6-ethenyl-6-methyl-1-(1-methylethyl)-3-(1-methylethylidene)-, (S)-"
Aegle marmelos,Halfordinol
Aegle marmelos,Ammijin
Aegle marmelos,p-Cymene
Aegle marmelos,Spathulenol
Aegle marmelos,delta-Guaiene
Aegle marmelos,beta-Gurjunene
Aegle marmelos,Myrtenyl acetate
Aegle marmelos,Ethyl isovalerate
Aegle marmelos,Eucalyptol
Aegle marmelos,beta-Elemene
Aegle marmelos,"p-Mentha-1,3,8-triene"
Aegle marmelos,(4S)-1-Methyl-4-(prop-1-EN-2-YL)-7-oxabicyclo[4.1.0]heptane
Aegle marmelos,4-Carvomenthenol
Aegle marmelos,(1R)-2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene
Aegle marmelos,4-Isopropylbenzyl alcohol
Aegle marmelos,alpha-Selinene
Aegle marmelos,"(S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene"
Aegle marmelos,Terpinolene
Aegle marmelos,alpha-Terpinene
Aegle marmelos,Humulene
Aegle marmelos,Citral
Aegle marmelos,Elemol
Aegle marmelos,Valencene
Aegle marmelos,(+)-delta-Cadinene
Aegle marmelos,(+)-beta-Phellandrene
Aegle marmelos,(-)-cis-Carveol
Aegle marmelos,(-)-trans-Carveol
Aegle marmelos,Linalool
Aegle marmelos,alpha-Pinene
Aegle marmelos,Citronellal
Aegle marmelos,beta-Pinene
Aegle marmelos,alpha-Terpineol
Aegle marmelos,Sabinene
